"occID","scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty"
81,"Alouatta palliata (Gray, 1849)",-85.58929,10.74007,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68065034","iNaturalist",NA,31179
82,"Alouatta palliata (Gray, 1849)",-85.64895,9.98221,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68843327","iNaturalist",NA,65
83,"Alouatta palliata (Gray, 1849)",-85.64885,9.98212,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68779602","iNaturalist",NA,20
84,"Alouatta palliata (Gray, 1849)",-85.64898,9.98212,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68843215","iNaturalist",NA,41
85,"Alouatta palliata (Gray, 1849)",-85.20081,10.33193,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68839713","iNaturalist",NA,NA
86,"Alouatta palliata (Gray, 1849)",-85.66642,9.97542,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68870389","iNaturalist",NA,NA
87,"Alouatta palliata (Gray, 1849)",-85.67735,9.96395,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68764741","iNaturalist",NA,31
88,"Alouatta palliata (Gray, 1849)",-85.64892,9.98216,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68863804","iNaturalist",NA,65
89,"Alouatta palliata (Gray, 1849)",-85.64889,9.98217,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68863878","iNaturalist",NA,65
90,"Alouatta palliata (Gray, 1849)",-85.6758,9.96262,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68759769","iNaturalist",NA,8
91,"Alouatta palliata (Gray, 1849)",-85.2008,10.33192,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68763494","iNaturalist",NA,NA
92,"Alouatta palliata (Gray, 1849)",-85.67328,9.96367,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68765161","iNaturalist",NA,NA
93,"Alouatta palliata (Gray, 1849)",-85.64882,9.9821,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68779861","iNaturalist",NA,24
94,"Alouatta palliata (Gray, 1849)",-85.65339,9.90795,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68861282","iNaturalist",NA,NA
95,"Alouatta palliata (Gray, 1849)",-85.65427,9.90937,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68861444","iNaturalist",NA,61
96,"Alouatta palliata (Gray, 1849)",-85.65405,9.98814,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68763880","iNaturalist",NA,NA
97,"Alouatta palliata (Gray, 1849)",-85.20141,10.33289,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68839616","iNaturalist",NA,NA
98,"Alouatta palliata (Gray, 1849)",-85.64907,9.98215,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68863615","iNaturalist",NA,65
99,"Alouatta palliata (Gray, 1849)",-83.29679,8.49547,"Costa Rica","Puntarenas",NA,2021,"HUMAN_OBSERVATION","69007381","iNaturalist",NA,NA
100,"Alouatta palliata (Gray, 1849)",-85.65665,9.94477,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68827666","iNaturalist",NA,40
